trip_id,service_id,route_id,trip_headsign,direction_id,shape_id
4503599631531237,4503599631531208,11821949025413197,Fenouillet Croix FENOUILLET,1,4503599631531230
4503599631531238,4503599631531208,11821949025413197,Fenouillet Croix FENOUILLET,1,4503599631531230
4503599631531239,4503599631531208,11821949025413197,Fenouillet Croix FENOUILLET,1,4503599631531230
4503599631531240,4503599631531208,11821949025413197,Fenouillet Croix FENOUILLET,1,4503599631531230
4503599631531241,4503599631531208,11821949025413197,Fenouillet Croix FENOUILLET,1,4503599631531230
4503599631531242,4503599631531208,11821949025413197,Fenouillet Croix FENOUILLET,1,4503599631531230
4503599631531243,4503599630773886,11821949025413197,Fenouillet Croix FENOUILLET,1,4503599631531230
4503599631531244,4503599630773886,11821949025413197,Fenouillet Croix FENOUILLET,1,4503599631531230
4503599631531245,4503599630773886,11821949025413197,Fenouillet Croix FENOUILLET,1,4503599631531230
4503599631531246,4503599630773886,11821949025413197,Fenouillet Croix FENOUILLET,1,4503599631531230
4503599631531247,4503599631531208,11821949025413197,Fenouillet Croix FENOUILLET,1,4503599631531230
4503599631532894,4503599631532894,11821949021891899,La Vache,0,4503599631532894
4503599631532896,4503599631532894,11821949021891899,La Vache,0,4503599631532894
4503599631532897,4503599631532894,11821949021891899,La Vache,0,4503599631532894
4503599631532898,4503599631532894,11821949021891899,La Vache,0,4503599631532894
4503599631532899,4503599631532894,11821949021891899,La Vache,0,4503599631532894
4503599631532901,4503599631532894,11821949021891899,La Vache,0,4503599631532894
4503599631532902,4503599631532894,11821949021891899,La Vache,0,4503599631532894
4503599631532903,4503599631532894,11821949021891899,La Vache,0,4503599631532894
4503599631532904,4503599631532894,11821949021891899,La Vache,0,4503599631532894
4503599631532905,4503599631532894,11821949021891899,La Vache,0,4503599631532894
4503599631532906,4503599631532894,11821949021891899,La Vache,0,4503599631532894
4503599631532907,4503599631532894,11821949021891899,La Vache,0,4503599631532894
4503599631532908,4503599631532894,11821949021891899,La Vache,0,4503599631532894
4503599631532909,4503599631532894,11821949021891899,La Vache,0,4503599631532894
4503599631532910,4503599631532894,11821949021891899,La Vache,0,4503599631532894
4503599631532911,4503599631532894,11821949021891899,La Vache,0,4503599631532894
4503599631532912,4503599631532894,11821949021891899,La Vache,0,4503599631532894
4503599631532913,4503599631532894,11821949021891899,La Vache,0,4503599631532894
4503599631532914,4503599631532894,11821949021891899,La Vache,0,4503599631532894
4503599631532915,4503599631532894,11821949021891899,La Vache,0,4503599631532894
4503599631532917,4503599631532894,11821949021891899,La Vache,0,4503599631532894
4503599631532918,4503599631532894,11821949021891899,La Vache,0,4503599631532894
4503599631535825,4503599631532894,11821949021891899,Saint Jory,1,4503599631535825
4503599631536339,4503599631532894,11821949021891899,Saint Jory,1,4503599631535825
4503599631536340,4503599631532894,11821949021891899,Saint Jory,1,4503599631535825
4503599631536341,4503599631532894,11821949021891899,Saint Jory,1,4503599631535825
4503599631536342,4503599631532894,11821949021891899,Saint Jory,1,4503599631535825
4503599631536343,4503599631532894,11821949021891899,Saint Jory,1,4503599631535825
4503599631536344,4503599631532894,11821949021891899,Saint Jory,1,4503599631535825
4503599631536345,4503599631532894,11821949021891899,Saint Jory,1,4503599631535825
4503599631536346,4503599631532894,11821949021891899,Saint Jory,1,4503599631535825
4503599631536347,4503599631532894,11821949021891899,Saint Jory,1,4503599631535825
4503599631536348,4503599631532894,11821949021891899,Saint Jory,1,4503599631535825
4503599631536349,4503599631532894,11821949021891899,Saint Jory,1,4503599631535825
4503599631536350,4503599631532894,11821949021891899,Saint Jory,1,4503599631535825
4503599631536351,4503599631532894,11821949021891899,Saint Jory,1,4503599631535825
4503599631536352,4503599631532894,11821949021891899,Saint Jory,1,4503599631535825
4503599631536353,4503599631532894,11821949021891899,Saint Jory,1,4503599631535825
4503599631536354,4503599631532894,11821949021891899,Saint Jory,1,4503599631535825
4503599631536356,4503599631532894,11821949021891899,Saint Jory,1,4503599631535825
4503599631536357,4503599631532894,11821949021891899,Saint Jory,1,4503599631535825
4503599631536358,4503599631532894,11821949021891899,Saint Jory,1,4503599631535825
4503599631536359,4503599631532894,11821949021891899,Saint Jory,1,4503599631535825
4503599631536361,4503599631532894,11821949021891899,Saint Jory,1,4503599631535825
